page_url,제품 소개,제품명,cate1,cate2,가격,성별,XS이하,S,M,L,XL이상
https://www.nike.com/kr/t/파리-생제르맹-스트라이크-서드-남성-조던-드라이-핏-축구-드릴-탑-4YO1b7da/FQ2625-111,남성 조던 드라이 핏 축구 드릴 탑,파리 생제르맹 스트라이크 서드,탑 & 티셔츠,긴팔,"99,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/엘리먼트-러닝-디비전-남성-드라이-핏-하프집-러닝-탑-By9bDkoB/FZ1128-010,남성 드라이 핏 하프집 러닝 탑,나이키 엘리먼트 러닝 디비전,탑 & 티셔츠,긴팔,"119,000 원",M,0,0,0,0,1
https://www.nike.com/kr/t/르브론-남성-맥스90-긴팔-농구-티셔츠-2xbHQBQe/HF6192-010,남성 맥스90 긴팔 농구 티셔츠,르브론,탑 & 티셔츠,긴팔,"65,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/jacquemus-반팔-티셔츠-8mjTYE8I/HF7112-475,반팔 티셔츠,나이키 x Jacquemus,탑 & 티셔츠,반팔,"79,000 원",M,0,0,0,1,1
https://www.nike.com/kr/t/하이버스-남성-드라이-핏-uv-반팔-탑-CigNN99p/HJ7008-030,남성 드라이 핏 UV 반팔 탑,나이키 하이버스,탑 & 티셔츠,반팔,"55,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/대한민국-2024-스타디움-홈-남성-드라이-핏-축구-레플리카-저지-2YdOpHWP/FJ4282-679,남성 나이키 드라이 핏 축구 레플리카 저지,대한민국 2024 스타디움 홈,탑 & 티셔츠,반팔,"129,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/acg-고트-록스-남성-드라이-핏-adv-uv-반팔-탑-TXpbWqAI/FN8412-437,남성 드라이 핏 ADV UV 반팔 탑,나이키 ACG '고트 록스',탑 & 티셔츠,반팔,"69,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/대한민국-2024-스타디움-어웨이-남성-드라이-핏-축구-레플리카-저지-SjmuhA4c/FJ4281-010,남성 나이키 드라이 핏 축구 레플리카 저지,대한민국 2024 스타디움 어웨이,탑 & 티셔츠,반팔,"129,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-남성-티셔츠-pSUrYgK8/DX1986-100,남성 티셔츠,나이키 스포츠웨어,탑 & 티셔츠,반팔,"45,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/스포츠웨어-남성-폴로-U4009lCP/CJ4457-010,남성 폴로,나이키 스포츠웨어,탑 & 티셔츠,반팔,"59,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/라이즈-365-런-에너지-남성-반팔-러닝-탑-aXIz3kDx/FN3997-121,남성 반팔 러닝 탑,나이키 라이즈 365 런 에너지,탑 & 티셔츠,반팔,"69,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/대한민국-남성-드라이-핏-adv-브레이킹-반팔-탑-1DUAu56R/FQ7120-126,남성 나이키 드라이 핏 ADV 브레이킹 반팔 탑,대한민국,탑 & 티셔츠,반팔,"59,000 원",M,0,1,1,0,1
https://www.nike.com/kr/t/테크-남성-반팔-플리스-탑-OdVAovHe/FZ7582-104,남성 반팔 플리스 탑,나이키 테크,탑 & 티셔츠,반팔,"119,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/코트-헤리티지-남성-테니스-폴로-ayNW64rm/FQ2102-100,남성 테니스 폴로,나이키코트 헤리티지,탑 & 티셔츠,반팔,"99,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/테크-남성-반팔-upf-우븐-탑-W2o4qm1O/FZ0705-060,남성 반팔 UPF 우븐 탑,나이키 테크,탑 & 티셔츠,반팔,"149,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/라이프-남성용-반팔-니트-탑-eAv9FHnJ/FZ6517-029,남성용 반팔 니트 탑,나이키 라이프,탑 & 티셔츠,반팔,"95,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/요가-드라이-핏-남성-탑-9BLcLIhk/DM7826-247,남성 탑,나이키 요가 드라이 핏,탑 & 티셔츠,반팔,"65,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/드라이-핏-빅토리-남성-골프-폴로-GwNnOxSC/DH0823-010,남성 골프 폴로,나이키 드라이 핏 빅토리,탑 & 티셔츠,반팔,"79,000 원",M,0,0,1,1,0
https://www.nike.com/kr/t/클럽-남성-반팔-폴로셔츠-VX9rdocj/FN3895-010,남성 반팔 폴로셔츠,나이키 클럽,탑 & 티셔츠,반팔,"65,000 원",M,0,0,0,1,0
https://www.nike.com/kr/t/코트-드라이-핏-남성-테니스-폴로-XQk3xROO/DH0858-010,남성 테니스 폴로,나이키코트 드라이 핏,탑 & 티셔츠,반팔,"55,000 원",M,0,1,1,1,1
https://www.nike.com/kr/t/드라이-핏-남성-올오버-프린트-반팔-요가-탑-Zsv5I3CR/DX0923-015,남성 올오버 프린트 반팔 요가 탑,나이키 드라이 핏,탑 & 티셔츠,반팔,"75,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/라이즈-365-런-에너지-남성-드라이-핏-반팔-러닝-탑-ixpRBdhZ/FZ1081-010,남성 드라이 핏 반팔 러닝 탑,나이키 라이즈 365 런 에너지,탑 & 티셔츠,반팔,"69,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/조던-스포츠-남성-드라이-핏-반팔-탑-bDtAOazD/FN5829-100,남성 드라이 핏 반팔 탑,조던 스포츠,탑 & 티셔츠,반팔,"49,000 원",M,0,0,0,0,1
https://www.nike.com/kr/t/하이버스-남성-드라이-핏-반팔-피트니스-탑-Lk8pCG25/FV9615-010,남성 드라이 핏 반팔 피트니스 탑,나이키 하이버스,탑 & 티셔츠,반팔,"59,000 원",M,0,0,1,1,0
https://www.nike.com/kr/t/하이버스-트랙-클럽-남성-드라이-핏-uv-반팔-러닝-탑-oEEtowlw/FZ0291-121,남성 드라이 핏 UV 반팔 러닝 탑,나이키 하이버스 트랙 클럽,탑 & 티셔츠,반팔,"59,000 원",M,0,0,1,1,1
https://www.nike.com/kr/t/러닝-디비전-남성-드라이-핏-adv-반팔-러닝-탑-n7ttyoKU/FZ0584-072,남성 드라이 핏 ADV 반팔 러닝 탑,나이키 러닝 디비전,탑 & 티셔츠,반팔,"99,000 원",M,0,0,0,0,1
https://www.nike.com/kr/t/에센셜-남성-반팔-하이드로가드-수영-셔츠-bCUiroFS/DM3765-010,남성 반팔 하이드로가드 수영 셔츠,나이키 에센셜,탑 & 티셔츠,반팔,"79,000 원",M,1,0,1,1,1
https://www.nike.com/kr/t/sb-스웨터-베스트-AikondAZ/FV7392-523,스웨터 베스트,나이키 SB,탑 & 티셔츠,민소매 & 탱크탑,"119,000 원",M,0,0,1,0,1
https://www.nike.com/kr/t/에센셜-남성-민소매-하이드로가드-수영-셔츠-KCkU6Mxy/DM3762-010,남성 민소매 하이드로가드 수영 셔츠,나이키 에센셜,탑 & 티셔츠,민소매 & 탱크탑,"59,000 원",M,1,1,0,1,1
https://www.nike.com/kr/t/스포츠웨어-프리미엄-에센셜-남성-탱크-7vZd3hfA/FD1291-010,남성 탱크,나이키 스포츠웨어 프리미엄 에센셜,탑 & 티셔츠,민소매 & 탱크탑,"55,000 원",M,0,0,1,1,1
